product_id,name,category,style,color,occasion,material,price,description
P0053,Block Heels,shoes,formal,navy,date,polyester,2000,navy formal Block Heels for date. Made from polyester. Suitable for formal looks and date occasions.
P0054,Blouse,tops,elegant,white,party,denim,4300,white elegant Blouse for party. Made from denim. Suitable for elegant looks and party occasions.
P0055,Sneakers,shoes,formal,green,wedding,polyester,8800,green formal Sneakers for wedding. Made from polyester. Suitable for formal looks and wedding occasions.
P0056,Lehenga,ethnic,trendy,pink,college,cotton,8800,pink trendy Lehenga for college. Made from cotton. Suitable for trendy looks and college occasions.
P0057,Palazzo Pants,bottoms,elegant,black,travel,knit,2300,black elegant Palazzo Pants for travel. Made from knit. Suitable for elegant looks and travel occasions.
P0058,Clutch,accessories,casual,brown,festive,satin,800,brown casual Clutch for festive. Made from satin. Suitable for casual looks and festive occasions.
P0059,Midi Dress,dresses,formal,beige,college,knit,5400,beige formal Midi Dress for college. Made from knit. Suitable for formal looks and college occasions.
P0060,Sandals,shoes,casual,red,party,cotton,4600,red casual Sandals for party. Made from cotton. Suitable for casual looks and party occasions.
P0061,Anarkali,ethnic,minimal,blue,wedding,polyester,2000,blue minimal Anarkali for wedding. Made from polyester. Suitable for minimal looks and wedding occasions.
P0062,Lehenga,ethnic,streetwear,red,party,linen,2700,red streetwear Lehenga for party. Made from linen. Suitable for streetwear looks and party occasions.
P0063,Knit Top,tops,elegant,beige,travel,knit,5900,beige elegant Knit Top for travel. Made from knit. Suitable for elegant looks and travel occasions.
P0064,Tote Bag,accessories,minimal,beige,office,silk,1100,beige minimal Tote Bag for office. Made from silk. Suitable for minimal looks and office occasions.
P0065,Straight Jeans,bottoms,casual,brown,travel,denim,3600,brown casual Straight Jeans for travel. Made from denim. Suitable for casual looks and travel occasions.
P0066,Satin Top,tops,formal,blue,festive,denim,4200,blue formal Satin Top for festive. Made from denim. Suitable for formal looks and festive occasions.
P0067,Wrap Dress,dresses,minimal,navy,festive,polyester,7500,navy minimal Wrap Dress for festive. Made from polyester. Suitable for minimal looks and festive occasions.
P0068,Anarkali,ethnic,elegant,pink,party,satin,4000,pink elegant Anarkali for party. Made from satin. Suitable for elegant looks and party occasions.
P0069,Midi Dress,dresses,traditional,red,travel,polyester,4700,red traditional Midi Dress for travel. Made from polyester. Suitable for traditional looks and travel occasions.
P0070,Wide Leg Trousers,bottoms,trendy,lavender,wedding,denim,1200,lavender trendy Wide Leg Trousers for wedding. Made from denim. Suitable for trendy looks and wedding occasions.
P0071,Statement Earrings,accessories,elegant,navy,wedding,denim,6200,navy elegant Statement Earrings for wedding. Made from denim. Suitable for elegant looks and wedding occasions.
P0072,Wrap Dress,dresses,traditional,green,office,polyester,4500,green traditional Wrap Dress for office. Made from polyester. Suitable for traditional looks and office occasions.
P0073,Loafers,shoes,formal,red,travel,silk,9600,red formal Loafers for travel. Made from silk. Suitable for formal looks and travel occasions.
P0074,Lehenga,ethnic,casual,blue,festive,polyester,5500,blue casual Lehenga for festive. Made from polyester. Suitable for casual looks and festive occasions.
P0075,Tote Bag,accessories,traditional,lavender,date,silk,7700,lavender traditional Tote Bag for date. Made from silk. Suitable for traditional looks and date occasions.
P0076,Wrap Dress,dresses,minimal,blue,festive,knit,8100,blue minimal Wrap Dress for festive. Made from knit. Suitable for minimal looks and festive occasions.
P0077,Loafers,shoes,trendy,brown,everyday,polyester,3400,brown trendy Loafers for everyday. Made from polyester. Suitable for trendy looks and everyday occasions.
P0078,Flats,shoes,streetwear,beige,office,denim,7200,beige streetwear Flats for office. Made from denim. Suitable for streetwear looks and office occasions.
P0079,Watch,accessories,minimal,white,wedding,polyester,4600,white minimal Watch for wedding. Made from polyester. Suitable for minimal looks and wedding occasions.
P0080,Crop Top,tops,casual,black,college,linen,6700,black casual Crop Top for college. Made from linen. Suitable for casual looks and college occasions.
P0081,Block Heels,shoes,trendy,red,wedding,polyester,9600,red trendy Block Heels for wedding. Made from polyester. Suitable for trendy looks and wedding occasions.
P0082,Pleated Skirt,bottoms,trendy,blue,party,polyester,9500,blue trendy Pleated Skirt for party. Made from polyester. Suitable for trendy looks and party occasions.
P0083,Midi Dress,dresses,streetwear,red,wedding,linen,9600,red streetwear Midi Dress for wedding. Made from linen. Suitable for streetwear looks and wedding occasions.
P0084,Flats,shoes,elegant,navy,wedding,knit,2200,navy elegant Flats for wedding. Made from knit. Suitable for elegant looks and wedding occasions.
P0085,Straight Jeans,bottoms,streetwear,brown,travel,knit,6300,brown streetwear Straight Jeans for travel. Made from knit. Suitable for streetwear looks and travel occasions.
P0086,Sandals,shoes,trendy,navy,everyday,linen,6700,navy trendy Sandals for everyday. Made from linen. Suitable for trendy looks and everyday occasions.
P0087,Palazzo Pants,bottoms,streetwear,blue,date,knit,7300,blue streetwear Palazzo Pants for date. Made from knit. Suitable for streetwear looks and date occasions.
P0088,Straight Jeans,bottoms,minimal,brown,office,polyester,4300,brown minimal Straight Jeans for office. Made from polyester. Suitable for minimal looks and office occasions.
P0089,Blouse,tops,minimal,green,office,linen,2600,green minimal Blouse for office. Made from linen. Suitable for minimal looks and office occasions.
P0090,Knit Top,tops,formal,beige,wedding,cotton,6000,beige formal Knit Top for wedding. Made from cotton. Suitable for formal looks and wedding occasions.
P0091,Palazzo Pants,bottoms,traditional,brown,festive,cotton,3300,brown traditional Palazzo Pants for festive. Made from cotton. Suitable for traditional looks and festive occasions.
P0092,Pleated Skirt,bottoms,streetwear,lavender,college,knit,8000,lavender streetwear Pleated Skirt for college. Made from knit. Suitable for streetwear looks and college occasions.
P0093,Pleated Skirt,bottoms,elegant,green,date,knit,5600,green elegant Pleated Skirt for date. Made from knit. Suitable for elegant looks and date occasions.
P0094,Straight Jeans,bottoms,trendy,blue,date,silk,6900,blue trendy Straight Jeans for date. Made from silk. Suitable for trendy looks and date occasions.
P0095,Bodycon Dress,dresses,minimal,red,party,knit,6600,red minimal Bodycon Dress for party. Made from knit. Suitable for minimal looks and party occasions.
P0096,Oversized Shirt,tops,traditional,black,festive,satin,7900,black traditional Oversized Shirt for festive. Made from satin. Suitable for traditional looks and festive occasions.
P0097,Shoulder Bag,accessories,elegant,red,party,knit,6600,red elegant Shoulder Bag for party. Made from knit. Suitable for elegant looks and party occasions.
P0098,Satin Top,tops,minimal,red,travel,linen,6500,red minimal Satin Top for travel. Made from linen. Suitable for minimal looks and travel occasions.
P0099,Saree,ethnic,streetwear,red,date,knit,6000,red streetwear Saree for date. Made from knit. Suitable for streetwear looks and date occasions.
P0100,Anarkali,ethnic,trendy,black,college,denim,3500,black trendy Anarkali for college. Made from denim. Suitable for trendy looks and college occasions.
P0101,Shoulder Bag,accessories,streetwear,black,college,linen,3200,black streetwear Shoulder Bag for college. Made from linen. Suitable for streetwear looks and college occasions.
P0102,Shirt Dress,dresses,casual,blue,party,silk,9200,blue casual Shirt Dress for party. Made from silk. Suitable for casual looks and party occasions.
P0103,Shirt Dress,dresses,casual,brown,date,knit,5400,brown casual Shirt Dress for date. Made from knit. Suitable for casual looks and date occasions.
P0104,Oversized Shirt,tops,traditional,white,party,denim,2000,white traditional Oversized Shirt for party. Made from denim. Suitable for traditional looks and party occasions.
P0105,Block Heels,shoes,minimal,lavender,festive,silk,9800,lavender minimal Block Heels for festive. Made from silk. Suitable for minimal looks and festive occasions.
P0106,Satin Top,tops,traditional,blue,office,polyester,4500,blue traditional Satin Top for office. Made from polyester. Suitable for traditional looks and office occasions.
P0107,Watch,accessories,streetwear,white,college,denim,7500,white streetwear Watch for college. Made from denim. Suitable for streetwear looks and college occasions.
P0108,Palazzo Pants,bottoms,elegant,navy,travel,cotton,6000,navy elegant Palazzo Pants for travel. Made from cotton. Suitable for elegant looks and travel occasions.
P0109,Wide Leg Trousers,bottoms,trendy,green,everyday,polyester,2600,green trendy Wide Leg Trousers for everyday. Made from polyester. Suitable for trendy looks and everyday occasions.
P0110,Straight Jeans,bottoms,formal,navy,date,satin,7500,navy formal Straight Jeans for date. Made from satin. Suitable for formal looks and date occasions.
P0111,Pleated Skirt,bottoms,trendy,lavender,date,denim,3800,lavender trendy Pleated Skirt for date. Made from denim. Suitable for trendy looks and date occasions.
P0112,Wrap Dress,dresses,trendy,blue,everyday,satin,8500,blue trendy Wrap Dress for everyday. Made from satin. Suitable for trendy looks and everyday occasions.
P0113,Statement Earrings,accessories,minimal,black,everyday,knit,4800,black minimal Statement Earrings for everyday. Made from knit. Suitable for minimal looks and everyday occasions.
P0114,Knit Top,tops,casual,green,date,denim,4200,green casual Knit Top for date. Made from denim. Suitable for casual looks and date occasions.
P0115,Loafers,shoes,traditional,black,wedding,cotton,3700,black traditional Loafers for wedding. Made from cotton. Suitable for traditional looks and wedding occasions.
P0116,Statement Earrings,accessories,trendy,navy,wedding,polyester,6700,navy trendy Statement Earrings for wedding. Made from polyester. Suitable for trendy looks and wedding occasions.
P0117,Statement Earrings,accessories,trendy,black,office,denim,3500,black trendy Statement Earrings for office. Made from denim. Suitable for trendy looks and office occasions.
P0118,Straight Jeans,bottoms,minimal,lavender,travel,silk,7700,lavender minimal Straight Jeans for travel. Made from silk. Suitable for minimal looks and travel occasions.
P0119,Loafers,shoes,trendy,navy,travel,denim,9600,navy trendy Loafers for travel. Made from denim. Suitable for trendy looks and travel occasions.
P0120,Palazzo Pants,bottoms,minimal,pink,wedding,cotton,9900,pink minimal Palazzo Pants for wedding. Made from cotton. Suitable for minimal looks and wedding occasions.
P0121,Blouse,tops,elegant,navy,party,linen,3400,navy elegant Blouse for party. Made from linen. Suitable for elegant looks and party occasions.
P0122,Statement Earrings,accessories,minimal,lavender,date,cotton,3100,lavender minimal Statement Earrings for date. Made from cotton. Suitable for minimal looks and date occasions.
P0123,Kurta Set,ethnic,minimal,beige,date,cotton,9700,beige minimal Kurta Set for date. Made from cotton. Suitable for minimal looks and date occasions.
P0124,Sneakers,shoes,minimal,black,college,satin,4400,black minimal Sneakers for college. Made from satin. Suitable for minimal looks and college occasions.
P0125,Tote Bag,accessories,formal,brown,office,knit,800,brown formal Tote Bag for office. Made from knit. Suitable for formal looks and office occasions.
P0126,Loafers,shoes,trendy,brown,everyday,denim,3000,brown trendy Loafers for everyday. Made from denim. Suitable for trendy looks and everyday occasions.
P0127,Wrap Dress,dresses,streetwear,brown,office,knit,1500,brown streetwear Wrap Dress for office. Made from knit. Suitable for streetwear looks and office occasions.
P0128,Pleated Skirt,bottoms,elegant,lavender,college,linen,2600,lavender elegant Pleated Skirt for college. Made from linen. Suitable for elegant looks and college occasions.
P0129,Loafers,shoes,elegant,blue,office,satin,6000,blue elegant Loafers for office. Made from satin. Suitable for elegant looks and office occasions.
P0130,Sandals,shoes,streetwear,lavender,wedding,knit,7300,lavender streetwear Sandals for wedding. Made from knit. Suitable for streetwear looks and wedding occasions.
P0131,Pleated Skirt,bottoms,trendy,pink,festive,denim,7900,pink trendy Pleated Skirt for festive. Made from denim. Suitable for trendy looks and festive occasions.
P0132,Block Heels,shoes,traditional,white,wedding,polyester,3400,white traditional Block Heels for wedding. Made from polyester. Suitable for traditional looks and wedding occasions.
P0133,Anarkali,ethnic,casual,blue,party,satin,1600,blue casual Anarkali for party. Made from satin. Suitable for casual looks and party occasions.
P0134,Satin Top,tops,trendy,brown,everyday,denim,1100,brown trendy Satin Top for everyday. Made from denim. Suitable for trendy looks and everyday occasions.
P0135,Blouse,tops,formal,pink,everyday,cotton,9400,pink formal Blouse for everyday. Made from cotton. Suitable for formal looks and everyday occasions.
P0136,Blouse,tops,streetwear,lavender,wedding,silk,2100,lavender streetwear Blouse for wedding. Made from silk. Suitable for streetwear looks and wedding occasions.
P0137,Sneakers,shoes,formal,beige,date,knit,2500,beige formal Sneakers for date. Made from knit. Suitable for formal looks and date occasions.
P0138,Midi Dress,dresses,casual,pink,date,silk,2200,pink casual Midi Dress for date. Made from silk. Suitable for casual looks and date occasions.
P0139,Palazzo Pants,bottoms,formal,red,date,satin,7600,red formal Palazzo Pants for date. Made from satin. Suitable for formal looks and date occasions.
P0140,Pleated Skirt,bottoms,elegant,lavender,college,silk,4800,lavender elegant Pleated Skirt for college. Made from silk. Suitable for elegant looks and college occasions.
P0141,Loafers,shoes,elegant,white,wedding,polyester,8000,white elegant Loafers for wedding. Made from polyester. Suitable for elegant looks and wedding occasions.
P0142,Block Heels,shoes,streetwear,pink,college,knit,2900,pink streetwear Block Heels for college. Made from knit. Suitable for streetwear looks and college occasions.
P0143,Pleated Skirt,bottoms,minimal,beige,festive,polyester,6900,beige minimal Pleated Skirt for festive. Made from polyester. Suitable for minimal looks and festive occasions.
P0144,Bodycon Dress,dresses,minimal,red,travel,denim,9200,red minimal Bodycon Dress for travel. Made from denim. Suitable for minimal looks and travel occasions.
P0145,Maxi Dress,dresses,minimal,red,everyday,denim,9100,red minimal Maxi Dress for everyday. Made from denim. Suitable for minimal looks and everyday occasions.
P0146,Wide Leg Trousers,bottoms,trendy,white,travel,denim,4800,white trendy Wide Leg Trousers for travel. Made from denim. Suitable for trendy looks and travel occasions.
P0147,Bodycon Dress,dresses,streetwear,navy,college,polyester,7600,navy streetwear Bodycon Dress for college. Made from polyester. Suitable for streetwear looks and college occasions.
P0148,Pleated Skirt,bottoms,elegant,blue,travel,satin,7000,blue elegant Pleated Skirt for travel. Made from satin. Suitable for elegant looks and travel occasions.
P0149,Statement Earrings,accessories,streetwear,black,wedding,denim,7700,black streetwear Statement Earrings for wedding. Made from denim. Suitable for streetwear looks and wedding occasions.
P0150,Blouse,tops,trendy,brown,office,cotton,8700,brown trendy Blouse for office. Made from cotton. Suitable for trendy looks and office occasions.
P0151,Sneakers,shoes,formal,beige,date,satin,800,beige formal Sneakers for date. Made from satin. Suitable for formal looks and date occasions.
P0152,Flats,shoes,elegant,blue,office,silk,2200,blue elegant Flats for office. Made from silk. Suitable for elegant looks and office occasions.
P0153,Tote Bag,accessories,trendy,pink,date,silk,6800,pink trendy Tote Bag for date. Made from silk. Suitable for trendy looks and date occasions.
P0154,Straight Jeans,bottoms,trendy,navy,party,silk,3100,navy trendy Straight Jeans for party. Made from silk. Suitable for trendy looks and party occasions.
P0155,Sandals,shoes,formal,beige,office,denim,6000,beige formal Sandals for office. Made from denim. Suitable for formal looks and office occasions.
P0156,Lehenga,ethnic,minimal,black,date,polyester,4500,black minimal Lehenga for date. Made from polyester. Suitable for minimal looks and date occasions.
P0157,Sandals,shoes,formal,brown,party,silk,7500,brown formal Sandals for party. Made from silk. Suitable for formal looks and party occasions.
P0158,Palazzo Pants,bottoms,minimal,navy,festive,silk,4800,navy minimal Palazzo Pants for festive. Made from silk. Suitable for minimal looks and festive occasions.
P0159,Crop Top,tops,traditional,red,wedding,knit,5900,red traditional Crop Top for wedding. Made from knit. Suitable for traditional looks and wedding occasions.
P0160,Wrap Dress,dresses,formal,brown,festive,silk,9100,brown formal Wrap Dress for festive. Made from silk. Suitable for formal looks and festive occasions.
P0161,Tote Bag,accessories,trendy,black,party,satin,8200,black trendy Tote Bag for party. Made from satin. Suitable for trendy looks and party occasions.
P0162,Anarkali,ethnic,streetwear,brown,office,satin,6500,brown streetwear Anarkali for office. Made from satin. Suitable for streetwear looks and office occasions.
P0163,Maxi Dress,dresses,trendy,beige,office,silk,4000,beige trendy Maxi Dress for office. Made from silk. Suitable for trendy looks and office occasions.
P0164,Lehenga,ethnic,formal,red,office,knit,4900,red formal Lehenga for office. Made from knit. Suitable for formal looks and office occasions.
P0165,Watch,accessories,trendy,green,everyday,knit,7600,green trendy Watch for everyday. Made from knit. Suitable for trendy looks and everyday occasions.
P0166,Shirt Dress,dresses,elegant,blue,date,linen,1800,blue elegant Shirt Dress for date. Made from linen. Suitable for elegant looks and date occasions.
P0167,Wide Leg Trousers,bottoms,streetwear,white,everyday,linen,9500,white streetwear Wide Leg Trousers for everyday. Made from linen. Suitable for streetwear looks and everyday occasions.
P0168,Anarkali,ethnic,elegant,green,college,denim,5200,green elegant Anarkali for college. Made from denim. Suitable for elegant looks and college occasions.
P0169,Sharara Set,ethnic,casual,blue,festive,satin,9400,blue casual Sharara Set for festive. Made from satin. Suitable for casual looks and festive occasions.
P0170,Crop Top,tops,casual,white,festive,satin,9400,white casual Crop Top for festive. Made from satin. Suitable for casual looks and festive occasions.
P0171,Knit Top,tops,traditional,beige,wedding,silk,8800,beige traditional Knit Top for wedding. Made from silk. Suitable for traditional looks and wedding occasions.
P0172,Sharara Set,ethnic,minimal,black,everyday,denim,9300,black minimal Sharara Set for everyday. Made from denim. Suitable for minimal looks and everyday occasions.
P0173,Sneakers,shoes,elegant,brown,travel,satin,4500,brown elegant Sneakers for travel. Made from satin. Suitable for elegant looks and travel occasions.
P0174,Statement Earrings,accessories,formal,pink,everyday,knit,4500,pink formal Statement Earrings for everyday. Made from knit. Suitable for formal looks and everyday occasions.
P0175,Knit Top,tops,streetwear,brown,office,linen,5500,brown streetwear Knit Top for office. Made from linen. Suitable for streetwear looks and office occasions.
P0176,Loafers,shoes,traditional,pink,date,cotton,9100,pink traditional Loafers for date. Made from cotton. Suitable for traditional looks and date occasions.
P0177,Palazzo Pants,bottoms,elegant,lavender,college,satin,7000,lavender elegant Palazzo Pants for college. Made from satin. Suitable for elegant looks and college occasions.
P0178,Kurta Set,ethnic,traditional,green,wedding,polyester,3100,green traditional Kurta Set for wedding. Made from polyester. Suitable for traditional looks and wedding occasions.
P0179,Loafers,shoes,formal,beige,office,polyester,8900,beige formal Loafers for office. Made from polyester. Suitable for formal looks and office occasions.
P0180,Wrap Dress,dresses,streetwear,brown,college,satin,5300,brown streetwear Wrap Dress for college. Made from satin. Suitable for streetwear looks and college occasions.
P0181,Tote Bag,accessories,elegant,pink,travel,polyester,6000,pink elegant Tote Bag for travel. Made from polyester. Suitable for elegant looks and travel occasions.
P0182,Crop Top,tops,casual,navy,travel,satin,7100,navy casual Crop Top for travel. Made from satin. Suitable for casual looks and travel occasions.
P0183,Kurta Set,ethnic,minimal,brown,date,polyester,5000,brown minimal Kurta Set for date. Made from polyester. Suitable for minimal looks and date occasions.
P0184,Bodycon Dress,dresses,elegant,beige,wedding,knit,9300,beige elegant Bodycon Dress for wedding. Made from knit. Suitable for elegant looks and wedding occasions.
P0185,Statement Earrings,accessories,streetwear,navy,travel,cotton,5700,navy streetwear Statement Earrings for travel. Made from cotton. Suitable for streetwear looks and travel occasions.
P0186,Wrap Dress,dresses,traditional,white,everyday,denim,9300,white traditional Wrap Dress for everyday. Made from denim. Suitable for traditional looks and everyday occasions.
P0187,Clutch,accessories,traditional,red,travel,cotton,9300,red traditional Clutch for travel. Made from cotton. Suitable for traditional looks and travel occasions.
P0188,Knit Top,tops,elegant,lavender,travel,satin,3500,lavender elegant Knit Top for travel. Made from satin. Suitable for elegant looks and travel occasions.
P0189,Shoulder Bag,accessories,formal,brown,date,polyester,5900,brown formal Shoulder Bag for date. Made from polyester. Suitable for formal looks and date occasions.
P0190,Maxi Dress,dresses,elegant,black,date,silk,2100,black elegant Maxi Dress for date. Made from silk. Suitable for elegant looks and date occasions.
P0191,Maxi Dress,dresses,traditional,beige,festive,silk,5400,beige traditional Maxi Dress for festive. Made from silk. Suitable for traditional looks and festive occasions.
P0192,Watch,accessories,trendy,lavender,party,silk,9000,lavender trendy Watch for party. Made from silk. Suitable for trendy looks and party occasions.
P0193,Bodycon Dress,dresses,traditional,red,date,cotton,9500,red traditional Bodycon Dress for date. Made from cotton. Suitable for traditional looks and date occasions.
P0194,Kurta Set,ethnic,trendy,brown,wedding,knit,5300,brown trendy Kurta Set for wedding. Made from knit. Suitable for trendy looks and wedding occasions.
P0195,Wrap Dress,dresses,traditional,green,college,silk,4200,green traditional Wrap Dress for college. Made from silk. Suitable for traditional looks and college occasions.
P0196,Satin Top,tops,streetwear,brown,office,polyester,3400,brown streetwear Satin Top for office. Made from polyester. Suitable for streetwear looks and office occasions.
P0197,Watch,accessories,elegant,black,travel,linen,2300,black elegant Watch for travel. Made from linen. Suitable for elegant looks and travel occasions.
P0198,Sneakers,shoes,elegant,navy,wedding,satin,3400,navy elegant Sneakers for wedding. Made from satin. Suitable for elegant looks and wedding occasions.
P0199,Blouse,tops,streetwear,beige,college,denim,2500,beige streetwear Blouse for college. Made from denim. Suitable for streetwear looks and college occasions.
P0200,Oversized Shirt,tops,minimal,beige,office,polyester,1000,beige minimal Oversized Shirt for office. Made from polyester. Suitable for minimal looks and office occasions.
P0201,Satin Top,tops,minimal,blue,travel,cotton,2900,blue minimal Satin Top for travel. Made from cotton. Suitable for minimal looks and travel occasions.
